word,lemma,pos,freq
ve,ve,Conj,2780869
bir,bir,Num,1720972
da,da,Conj,855143
de,de,Conj,817354
olarak,olmak,Adv,680517
bu,bu,Det,677657
ile,ile,Postp,606428
için,için,Postp,486854
olan,olmak,Adj,389378
kaynakça,Kaynak,Noun,370565
yılında,yıl,Noun,358553
tarafından,tarafından,Adv,350001
in,inmek,Verb,347281
en,en,Adv,304028
sonra,sonra,Postp,299164
daha,daha,Adv,291165
dış,dış,Adj,275887
the,The,Noun,271315
ın,In,Noun,261041
bağlantılar,bağlantılamak,Verb,258324
ilk,ilk,Adj,228957
futbolcuları,futbol,Noun,204629
ya,ya,Conj,194062
bağlı,bağ,Adj,186757
te,Te,Noun,186749
yer,yemek,Verb,186652
türk,Türk,Noun,185105
büyük,büyük,Adj,183445
ise,ise,Adv,181540
gibi,gibi,Postp,181302
çok,çok,Adv,179753
türkiye,Türki,Noun,171630
veya,veya,Conj,169507
arasında,ara,Noun,164674
kadar,kadar,Postp,161073
of,of,Interj,157794
un,un,Noun,150544
ayrıca,ayrıca,Adv,146688
iki,iki,Num,145816
doğumlular,doğum,Verb,135893
oldu,olmak,Verb,135483
göre,göre,Postp,135477
ancak,ancak,Adv,133732
dünya,dünya,Noun,129018
yeni,yeni,Adv,126642
diğer,diğer,Adj,124076
aynı,aynı,Adj,122958
olduğu,olmak,Adj,121595
nde,N,Noun,110081
her,her,Det,109933
birlikte,birlikte,Postp,107598
bulunan,bulunmak,Adj,107361
tarihinde,tarih,Noun,106283
partisi,parti,Noun,104826
nda,NDA,Noun,102884
eski,eski,Adj,101195
alan,almak,Adj,98347
amerikalı,Amerika,Adj,97534
avrupa,Avrupa,Noun,97442
film,film,Noun,97306
birleşik,birleşik,Adj,94277
genel,genel,Adj,94060
km,Km,Noun,91249
etti,etmek,Verb,90259
amerika,Amerika,Noun,89717
son,son,Num,89652
yıl,yılmak,Verb,88124
kadın,kadın,Adj,87878
üniversitesi,üniversite,Noun,87292
dan,dan,Dup,86030
karşı,karşı,Postp,85977
den,de,Noun,85813
adlı,ad,Adj,85666
adı,ad,Noun,85330
ne,ne,Conj,84067
aldı,almak,Verb,83224
yaşayan,yaşamak,Adj,81889
deki,dek,Noun,79300
and,And,Noun,78763
ilçesine,ilçe,Noun,78374
önemli,önem,Adj,78193
önce,önce,Postp,77325
futbol,futbol,Noun,77089
futbolcular,futbol,Noun,76795
millî,millî,Adj,76327
yüksek,yüksek,Adj,74615
nüfus,nüfus,Noun,73606
mart,Mart,Noun,73360
bazı,bazı,Det,73062
başladı,başlamak,Verb,72919
osmanlı,Osmanlı,Adj,72475
tüm,tüm,Det,71933
ye,yemek,Verb,71357
ödülü,ödül,Noun,71357
müzik,Müzik,Noun,71268
ta,ta,Adv,70897
insanlar,insan,Noun,70704
mayıs,mayıs,Noun,70571
birçok,birçok,Adj,70295
filmler,film,Noun,70051
şekilde,şekil,Noun,69792
toplam,toplam,Noun,69532
yapılan,yapılanmak,Verb,69026
üzerine,üzerine,Adv,68993
ocak,Ocak,Noun,68988
devlet,devlet,Noun,68854
üç,üç,Num,68788
üzere,üzere,Postp,68704
olduğunu,olmak,Noun,68545
